FINCA;GRUPO;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12
FEDERICA;PARCELA;36919333.48599442;33356856.140534654;33376271.96740393;35993608.564948864;38210692.924671225;34630476.57324653;42717476.44977442;40838203.63205126;35122005.948178336;37546979.97409618;34798336.03502089;33429011.052600928;9247005.198816162;5370268.171241006;11074005.81383973;5803338.36776842;9556726.966766773;9939850.296015471;10684934.276563216;10214097.40780678;6968622.2674859995;7724940.970961289;8703994.175245356;8113506.512403982;17950716.35239029;15059907.676176189;17285131.99042298;16254473.372479722;18576422.62463241;17332928.891974412;20767593.697703876;19853841.064325944;16369332.375884205;17605890.11559021;16917592.762273923;16155741.60085979;64117055.03720087;53787031.98795185;61735409.77166664;58051420.30519701;66343842.51607041;61903255.761236414;74170004.42404151;70906142.10418399;58459960.59154854;62877811.06064768;60419922.97254017;57698259.1658647
NEERLANDIA;PARCELA;26985678.612719998;24483606.559439994;24260087.809439998;25415330.08608;26570572.36272;23104845.532799996;27145334.86272;26117817.58608;24930644.059439998;27017609.862719998;24260087.809439998;23104845.532799996;6721471.749076618;4015815.7974411617;7931510.092666949;4169849.280961637;6617216.139020294;6572154.698717195;6761570.060636744;6505943.660362223;4971573.076245566;5579944.768174777;6041806.039975051;5590490.240291723;13114893.481439764;11089525.768032653;12524674.402461918;11512121.436830267;12913017.526435869;11546688.368955443;13192538.079518184;12693218.213353276;11634792.098553928;12683593.620838216;11790146.437180577;11165115.393965462;46822043.84323638;39588948.12491381;44716272.304568864;41097300.8038719;46100806.028176166;41223688.60047264;47099443.002874926;45316979.4597955;41537009.23423949;45281148.25173299;42092040.28659563;39860451.16705718
SAN ANTONIO;PARCELA;32333752.783759996;26689157.189519998;26445163.439519998;27704456.936639998;28963750.433760002;25882994.942399997;31330337.79976;30818634.860639997;26968007.189519998;28963750.433760002;26445163.439519998;25185869.942399997;8060607.437957761;4375317.329148143;8649701.178135067;4543062.680691692;7214217.746425778;7368121.026733173;7808595.714943286;7682694.459711531;5377360.424645865;5981891.638119909;6586894.464127883;6094634.8285287;15715146.228868898;12087414.57690332;13654027.208379539;12547866.74634894;14076234.642325418;12936759.569103984;15227161.867852375;14978722.57791275;12585297.723123286;13597229.48402693;12852214.238644946;12170782.996361904;56109506.45058666;43151889.09557146;48748891.826034606;44795386.36368063;50254202.822511196;46187875.538237154;54366095.38255566;53480051.898264274;44930665.337289155;48542871.55590684;45884272.14229283;43451287.7672906
MRS;PARCELA;15455571.0195264;11819125.0667664;9867567.852187201;10394187.198782401;11031759.1844976;9633410.850648;11171677.877736;11072513.154688;10167256.4536416;10799658.9980832;9857975.8072752;9617534.4774;3871407.8148386846;1895514.7356028745;3282985.6863735355;1672405.968609019;2760814.3867487656;2768107.961098158;2795139.2368582115;2770603.460808646;2015553.7618012056;2220659.025320277;2467603.244134702;2335449.6028819047;7514774.852441718;5332565.573286792;5113285.54482771;4692271.387615915;5363444.436321294;4822530.148524364;5431360.989233685;5383193.387028262;4737585.364378639;5063101.242305959;4792857.468000299;4648087.488893196;26841753.6868068;19047205.37565607;18263839.083388448;16758864.555007335;19156018.00756766;17224048.960270524;19398178.103827897;19226310.00252491;16920395.579821445;18083419.265709437;17118436.5194102;16601071.5691751
DON FUAD;PARCELA;42256362.167825915;34989302.413370885;31173012.6499296;32637579.943631995;34936539.7356768;37842954.080118395;49202632.3445536;44329768.864841595;35958540.35435519;34870251.33108672;31197873.797038082;33186518.9430848;10566614.728108384;5647748.45533767;10337014.202015521;5263525.8780438695;8736425.740494158;10861996.873482719;12305844.947985604;11085927.495092344;7134227.083173877;7175969.567315996;7803758.506244778;8054245.9205840435;20542945.844648488;15803988.802257227;16142102.505036939;14739534.00569281;16984443.774979252;18940832.775221854;23920233.399131384;21551065.78589706;16758987.373083469;16351984.952642143;15167241.766391724;16038522.657401092;73365922.7405828;56441039.670965776;57652129.35698207;52640639.82736868;60657409.251150206;67645783.72882298;85428710.69167058;76966762.145831;59851754.810612544;58398205.851044856;54168874.06967458;57279287.52106994
EUFEMIA;PARCELA;55054325.4075564;45771309.7199428;51316711.9399428;55394577.5637496;53988446.8418844;49814199.744792;59629784.3865108;58310801.739271194;55820091.752031595;60801511.72651079;48464534.7320316;45973824.744792;13739643.172319308;7468168.892885969;16896405.386772394;9006197.065728143;13473585.12371111;14248849.05078128;14892563.968042437;14564935.15479336;11092173.161975108;12525992.051055375;12095644.458410602;11141154.591146827;26760370.76624803;20712587.89177425;26532841.2598619;25051859.96558702;26242268.740043655;24918076.78119839;28986121.976927765;28345245.616517857;26026405.57215142;28521685.889852885;23557349.851401895;22217362.182238482;95554339.34612374;73952066.50460301;94745958.5865771;89452634.59506476;93704300.70563917;88981125.57677168;103508470.33148101;101220982.5105824;92938670.48615812;101849189.66741905;84117529.0418441;79332341.5181773
OLGA;PARCELA;11190470.79342417;9539798.141474241;9131822.333474241;10596457.315449208;11087725.353424171;9825360.759499278;11864139.715024171;12365493.897849206;10479831.773474243;10326543.081424171;9640022.333474241;9825360.759499278;2795716.724355979;1548823.0706801754;3009587.492182185;1718262.855539482;2769911.7924193833;2814048.7543060314;2964911.3929435867;3091472.6576930815;2081636.086276685;2127859.596339293;2407603.612564581;2382945.7388675646;5439844.748527816;4313263.885499209;4722482.81956744;4789996.970814033;5389877.218956061;4915906.878334969;5767465.826033738;6011388.140490017;4885759.377419973;4844439.98121333;4686029.025560077;4748337.136234038;19426032.266307965;15401885.097653626;16863892.645223863;17104717.141802724;19247514.364799615;17555316.392140277;20596516.934001498;21468354.696032304;17447227.237170897;17298842.658976793;16733654.971598899;16956643.634600878
DON SAID;PARCELA;127529267.1521309;109870673.24795154;96023415.39277425;100474183.69418427;105880387.14900355;100642145.22083049;128218748.99087617;126249120.97336602;104595200.90267186;105774036.12515107;98796706.62184498;100629861.92152809;31895348.806751195;17725804.17774423;31879507.831945747;16184015.381577017;26490197.861449007;28896483.371266853;32065902.533634502;31574164.664706435;20745515.64478977;21759032.996905737;24712556.749588337;24426865.874609984;61999256.588407844;49622203.57652089;49735813.15027006;45365912.79880907;51475969.304526314;50375301.04262907;62334154.357083164;61376743.51580185;48744197.02291727;49595662.67994653;48031238.59434829;48633110.99377591;221423872.54728994;177218681.00221664;177638736.37499005;162024111.87457037;183846554.31497887;179913929.6347264;222618805.88159385;219200029.1538743;174084913.5703789;177128731.80200332;171540501.9657816;173689838.78991398
ASUNTINA;PARCELA;54891900.096;44843760.192;44843760.191999994;46979177.344;49114594.49600001;45363785.5;60984016.125999995;58332537.16399999;47499202.651999995;49114594.49600001;44843760.191999994;43941718.04;13736485.154569855;7235826.65111675;14866769.033502266;7580389.8249794515;12285491.535924455;13031998.943501627;15266544.683284651;14602781.870967928;9418666.783178253;10105222.267383303;11217187.924104936;10667334.652462663;26687336.631293386;20253820.14384707;23219967.44788032;21218287.769744545;23877696.72500592;22708426.877882026;29650076.270965826;28360942.520054266;22134460.587381374;23030226.060323976;21801375.270657577;21236524.246253178;95315721.88186324;72333406.98696382;82930496.67338258;75777854.938724;85277782.75693038;81104211.32138366;105900637.08025047;101296261.55502218;79052330.02255963;82250042.82370728;77862323.3867625;75845576.93871585
PORLAMAR;PARCELA;106679177.82867248;87083848.46853463;85853181.27819416;90332467.66476163;105241151.61939247;119051471.60887915;143520371.16767982;121930884.71283907;91083581.8648604;94461410.70414512;100160557.17174296;98903097.32745835;26679448.75100565;14049378.209275743;28483792.369009633;14560573.285943432;26324444.424577612;34179027.62124592;35895297.752270736;30496436.606327888;18066913.25308;19433407.28816711;25053287.924043454;24004740.777387764;51862640.57741012;39330645.10643193;44461674.61931998;40791634.46333908;51164269.837690614;59588952.32071381;69773530.36847527;59277762.0339981;42448217.06925666;44292430.72538086;48694225.50335785;47798396.653366305;185221267.15708825;140463871.7842423;158798648.26652378;145684675.41404414;182729865.8816607;212819451.5508389;249189199.2884258;211705083.35316506;151598712.18719706;158187248.7176931;173908070.59914428;170706234.75821242
EL MORRO;PARCELA;12592250.66643904;9005260.682370558;9647297.772880001;11729474.179523198;12808137.5226464;8817960.7537088;9496334.5528704;9312173.128790399;9396237.975273598;11737992.443068162;10547296.54794624;8475928.135324799;3149152.6146969744;1450380.13104729;3196500.989236247;1893989.4450387529;3203565.983316367;2531190.6160803474;2375815.098364664;2328646.2761480776;1864580.902122205;2415667.160989792;2638113.7627746225;2057124.7366364836;6121780.703887114;4065963.7997882934;4994739.67109973;5298309.782143605;6226802.043042511;4413545.560615222;4616830.771673954;4527123.751903169;4379466.663231843;5504459.659508305;5127676.455950855;4096285.8651165916;21863183.985023126;14521604.61320614;17838538.433215976;18921773.406705555;22238505.549005277;15762696.930404369;16488980.422909018;16167943.156841645;15640285.540627647;19658119.263566256;18313086.766671717;14629338.737077873
LA PERLA;PARCELA;13464719.23680832;10044947.00673024;9852796.14050304;10488315.240675842;11236080.59471616;10944060.640848;13051843.66891072;11307944.513137281;10169418.16899648;10854140.026281599;9884707.65073152;9444521.5564224;3367396.151897957;1619370.6976867297;3274252.40978467;1691750.7684156979;2809602.8519766494;3141621.46278609;3264207.050171318;2827548.0144167882;2017900.6226340346;2232894.419416479;2473606.7035116977;2292728.354597134;6545943.373791014;4536134.212738725;5104356.947611135;4736787.462877125;5462410.664180903;5477736.005610592;6345232.3852948565;5497343.359776949;4739768.97212414;5089367.497763343;4805745.356725776;4564425.940392499;23378058.76249729;16200451.917155694;18231405.497898843;16916853.471968666;19508094.110873714;19563418.109244682;22661283.104376893;19632835.887331016;16927087.763754655;18176401.943461422;17164059.710968994;16301675.851412032
ARACATACA;PARCELA;54348464.4519936;49494460.623413764;49623447.80006784;52938356.20135104;55003994.39247936;53024963.4238208;65517483.52445248;62648564.99069312;51404568.91411008;54546444.91539264;49746976.42891968;47793774.2953344;13599844.340593474;7966505.280901314;16470946.88220139;8544961.67612879;13756164.288855439;15214585.54909001;16384983.322794974;15668026.50034087;10200612.643752154;11222743.064657075;12445201.724076468;11601446.470889818;26423026.57101177;22344810.702786054;25701414.244890906;23911224.294291127;26740509.46641792;26538107.261037134;31851617.34117248;30456961.85936988;23958975.1239558;25577214.526571546;24185379.03391176;23098112.981203984;94371335.36359884;79805776.60710113;91795808.92716014;85394542.17177096;95500668.14775272;94777656.23394793;113754084.18841994;108773553.35040388;85564156.68181804;91346402.50662126;86377557.18690792;82493333.74742821
BOCATOMA;PARCELA;22288220.703218244;20314889.987292483;20487138.19205088;20656798.07118401;21688964.905976005;19081978.946758404;22144361.960623045;21500986.61670977;20383720.332312003;22139016.218630724;19983898.94001888;19015924.878060803;5563383.806017054;3302308.911740005;6732326.481364802;3319093.6826285366;5428802.446484126;5472696.375754079;5531075.891353138;5362330.61125948;4055013.3920679134;4560922.782573734;4997366.297279089;4615294.4572759885;10833843.33277544;9187025.094565863;10588280.460309468;9322953.60901738;10544931.644153057;9549462.052908782;10764486.519812526;10450464.776337106;9506777.122780824;10385277.385051941;9715211.053805932;9190110.267964877;38685447.84201074;32804223.99359835;37807745.13372515;33298845.362829924;37662698.99661319;34104137.37542127;38439924.37178871;37313782.00430635;33945510.84716074;37085216.3862564;34696476.2911039;32821329.603301667
JOYA;PARCELA;44344352.58249792;40627568.97895104;40711797.31702464;43176330.95870208;46188073.96351872;46564271.8894432;53571130.71717183;44173759.62462976;40714586.12732544;44395378.4105184;40673148.79314816;38847765.2247552;11100068.91023166;6546698.4059059;13502834.82292936;6970567.886256605;11548397.872147411;13368193.841199353;13398781.646755582;11046738.649931837;8074332.166829207;9129465.361230683;10176354.097125068;9429536.015138296;21559816.790994238;18345315.254610907;21082420.756954506;19502547.633697566;22454130.586346883;23306816.15674685;26044067.71114643;21475193.78662767;18973462.86071035;20813989.35710122;19774158.3763979;18774599.38381651;77004238.28372382;65519582.63946785;75297052.8969085;69649446.47865625;80190602.42201301;83239281.88738939;93013980.07507384;76695692.06118926;67762381.154865;74338833.1288503;70623661.26667112;67051900.62371001
ESMERALDA;PARCELA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NARANJOS;PARCELA;19421333.7148896;17893117.4734272;17637386.756832;18410082.87573696;19256748.27100224;16753225.9637472;20895063.901318397;22282604.7769696;18288110.496796798;19376009.08004544;17602160.00918976;16741914.047808;4859766.498124515;2886594.0156664737;5856560.518552798;2960546.6283962904;4820860.597573306;4818368.904485464;5226295.152875884;5573057.183807119;3628914.155978829;3985877.778795811;4406127.088983513;4066466.283101268;9442206.504715594;8081203.85304896;9135706.209038395;8310133.1106062485;9362549.415604541;8388044.821613372;10158345.682018848;10832866.565683704;8523755.788938489;9085078.492918674;8558014.408158354;8091314.069179172;33723306.71772971;28860915.342142634;32629653.484423194;29680762.6147395;33440158.28418009;29959639.689846035;36279704.73621313;38688528.526460424;30440780.441714115;32446965.351759925;30566301.506331626;28899694.400088437
YUNQUE;PARCELA;15465434.09134464;13313424.753359998;11149735.28996736;11810826.36993024;12909551.514658561;12320485.5711456;15354503.990709119;14247824.216474878;12326506.819343999;12325313.43404352;11161128.676769279;10713830.1170688;3867747.4636869454;2149649.8125836635;3698207.9892493566;1905795.9437114976;3228576.216598678;3536214.521059443;3839451.101585608;3563156.1940522874;2445593.4370716196;2536196.165747699;2791977.753517431;2600699.156129248;7518600.030907686;6013744.3291254835;5773902.9440608425;5334416.61436576;6276049.200107277;6166511.157887207;7464583.124824889;6926640.1756697;5744941.015699002;5779641.013400941;5426149.621496625;5177857.283858482;26851781.585939273;21476818.895069145;20621846.223277558;19051038.9280075;22414176.931364518;22023211.25009225;26658538.217119616;24737620.586196866;20517041.27211462;20641150.61319216;19379256.051783334;18492386.55705653
DONAMA;PARCELA;26265296.508401282;23841789.10197696;23863598.225228157;25040833.3506048;25927900.59792;22243550.16;25580082.684;24467905.176;23355727.667999998;25580082.684000004;23355727.668;22243550.16;6578426.891230117;3819130.346294099;7956198.638096508;4015304.2012568098;6502654.240314793;6442079.214692697;6424541.007300314;6145213.137417691;4608268.177801317;5243920.889552734;5865885.267535069;5415453.025346976;12770550.783978378;10754775.49709477;12371464.683496498;11297628.650683628;12607886.321356535;11150104.13794305;12440197.228808431;11899319.088425456;10869605.18526297;11981290.18903995;11358440.948042482;10751054.538144369;45614274.183609776;38415694.94536583;44191261.54682116;40353766.20254523;45038441.15959133;39835733.512635745;44444820.92010874;42512437.401843145;38833601.03106429;42805293.76259269;40580053.883577555;38410057.72349134
BURDEOS;PARCELA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
DON MARCE SUR 2;PARCELA;14972908.1491008;11927143.595313601;11576284.032009598;12131776.812815998;12685561.838999998;11257126.026552;13894038.582691198;14617615.2228048;13848267.4079856;13158781.210094398;11654137.935431998;12825296.397144;3746866.6183705647;1919712.7471908513;3850868.907443415;1949721.1637723628;3176402.304938651;3235501.4135758406;3476828.158878434;3658251.6236353596;2744729.6364515945;2706667.3122258345;2916716.2604160653;3114284.9963056035;7279519.261188589;5384613.858961288;5998521.962297455;5475586.49476997;6167763.854139237;5635613.317140376;6754985.809900746;7106829.795582589;6452472.355384559;6169750.157791363;5666056.830423586;6198369.203214928;25999294.028659955;19231470.20146574;21425674.901750468;19557084.47135833;22029727.998077884;20128240.757268216;24125852.551470377;25382696.642022748;23045469.399821755;22035198.680111594;20236911.02627165;22137950.59666453
LAS MARGARITAS;PARCELA;23109606.9401024;19950487.0738608;19693766.4719328;20543899.392004803;21506143.5306672;19099169.541288;25147827.3431856;23075471.6021424;19660906.5573024;21494894.2846224;19620296.4657312;18728404.506024;5782719.722634327;3212816.929930659;6545848.969646848;3298880.305585918;5385571.343010712;5489687.214548643;6293390.34901527;5775038.145802988;3894719.5039913035;4417866.487665712;4913724.176319055;4549380.358829518;11235367.070413735;9007651.99886061;10203012.466075635;9271000.594749935;10456446.326298906;9561617.452102419;12226405.958945602;11218907.384611892;9159544.595852144;10075857.989033848;9539597.917695627;9051405.202141047;40127693.73315046;32170956.00265207;36442627.907655284;33113780.292340655;37348161.19997682;34150474.20793906;43667623.65114647;40069417.13255728;32715170.657145847;35988618.76132196;34073618.55974588;32329190.066994563
LA CECILIA;PARCELA;11897031.50999744;10172867.79269952;10201370.060672639;10731987.210961921;12316293.99897088;13193864.872726398;14962590.126087677;12526296.343291521;10243496.763688318;11187939.44906304;10520222.06073024;10124880.0036096;2975797.0210493607;1634659.197884304;3390446.2613595515;1729275.6577149085;3080496.798178904;3786633.884658758;3741799.0659465054;3132535.1289524934;2030822.4143171601;2300547.322818255;2631026.624798813;2456993.4576839022;5783877.331629311;4591331.022893628;5285058.802681325;4845978.630798881;5987679.642667153;6603569.414669317;7274109.431101447;6089697.2057503965;4773205.600561177;5245169.351313533;5114464.024241363;4893177.382783886;20656705.86267611;16398858.013477452;18876875.124713518;17307241.49947571;21384470.439816937;23584068.172054473;25978498.623135626;21748528.67799441;17047524.77856666;18733656.12319483;18265712.709770415;17475050.844077386
JOSEFINA;PARCELA;17098978.13331648;14301741.827712;13940143.765182719;14574607.715070719;15254595.07625088;14708490.0439488;18373973.708127357;16304110.337888638;14147402.714311678;15149210.8446432;14153550.63095232;13610683.535904;4275589.577136385;2308772.176654763;4619781.346021159;2351204.655117374;3815423.726280595;4220978.815744834;4594718.730526687;4076910.561547807;2806797.0774659957;3117052.455506683;3539549.6129979524;3302989.660925322;8312646.526070313;6459952.614848236;7217596.158388758;6582424.210391004;7416163.660560058;7361540.262913226;8932534.22241533;7926234.77783014;6593555.636255336;7103680.69781145;6880803.8851188915;6577811.697654902;29687214.236523177;23070466.619214997;25777521.269592635;23508236.5805791;26486182.46309153;26291009.12260686;31901226.66106937;28307255.677266583;23547755.42803301;25369943.997961335;24573904.12906916;23491484.894484226
SAN ALFREDO;PARCELA;11791650.590817919;9825775.75194944;8148807.79803264;8498787.73165632;8895213.179911679;7753377.945206399;9093016.76022144;9092767.28911616;8206047.63615552;8899838.2181184;8143774.549620479;7771896.899001599;2948598.760325737;1587153.5544272577;2703261.8397609815;1368622.4729934656;2225929.8390490897;2226981.1895529977;2274226.1078152736;2273799.075635581;1627515.3213385213;1830555.939651127;2037324.564102756;1886433.5876969823;5732512.334995313;4438661.478986367;4220008.94651352;3837196.883991955;4324663.616426175;3881109.035470254;4420641.270306513;4420462.271799417;3824191.261671838;4172807.852746584;3959240.5387723045;3756049.88974732;20472761.68613897;15851590.785363067;15072078.584307142;13704607.08864174;15445806.635386944;13861468.170229651;15787884.138343226;15787028.636551157;13657754.219165878;14903202.01051611;14140339.65249554;13414380.3764459
VICTORIA;PARCELA;40362317.11838016;32893138.260074876;32199676.49555136;33781055.66749824;35629469.93524416;34331926.282131195;42389120.11120192;37969640.036225274;32269340.3501664;35257249.68868416;32757404.572285436;31729360.3174752;10093970.07220466;5312607.517057158;10681315.71454923;5449888.3010313045;8910608.836632468;9851671.631641755;10602076.567203982;9496333.110113764;6400867.521879741;7252705.989729863;8192968.923253525;7700485.205349744;19622310.232576247;14858738.099936198;16675019.916545907;15256882.260598838;17321455.94782913;17182768.70197338;20607844.58816324;18459216.277065042;15038714.589445883;16531426.16919063;15925287.064393302;15334293.489150308;70078597.42316107;53064483.87706824;59556012.1266465;54487826.22912838;61861534.71970576;61366366.61574633;73599041.26656914;65925189.42340408;53708922.461492024;59041381.84760465;56875660.55993227;54764139.01197525
CIRCASIA;PARCELA;29430298.025053572;19026570.394822467;18272467.298778947;21362142.726205543;28071149.733299978;25458646.438375074;29091243.984039813;25748601.286268905;20292018.778969668;20450635.203104775;20780410.364817347;22728940.698522277;7360758.973204107;3062355.6621916047;6077326.821366026;3439146.8055003537;7022495.098874245;7308727.025782141;7277020.38795556;6442527.515043281;4022590.5793541237;4205354.2529020235;5200247.266292133;5518881.205615752;14307775.877424447;8589696.600091988;9467959.45810236;9644531.987351695;13647279.389031515;12742750.078553125;14143110.066616692;12518299.551527277;9455312.973625837;9587839.11723392;10103021.897971692;10984710.314636737;51098832.87568213;30678622.657106057;33817753.57824734;34445821.519057594;48740924.22120574;45510123.54271034;50511374.438612066;44709428.35283946;33769922.33194963;34243828.57324072;36083679.52908117;39232532.218774766
CIENAGA;PARCELA;11009458.344355838;9442499.33369664;8538452.686705919;9615151.49800256;9766302.17238784;9522797.195027199;11064872.68979008;9488731.746542718;8921348.547400959;9134321.14363008;8337392.03863296;8138032.6401984;2753610.52273937;1524728.742540842;2828858.205219054;1552532.0723903452;2442065.4590312606;2733443.3394877426;2767124.8803087357;2372701.914746119;1770021.5989146663;1879560.2851327024;2085337.534190196;1974970.7527218258;5352345.296401323;4265273.707034381;4420571.473775977;4343225.983269612;4747876.559479266;4766308.01467273;5379230.782295467;4612942.820465645;4157928.8910465436;4283291.827702558;4053303.9682960184;3932976.754629334;19115414.16349653;15232501.783271862;15787882.36570095;15510909.55366252;16956244.190898366;17022548.54918767;19211228.352394283;16474376.481754482;14849299.03736217;15297173.25646534;14476033.541119173;14045980.14754956
MARIA;PARCELA;7526002.927032286;8548473.728439344;9942720.900152624;9347020.687666055;9807431.286889566;8079139.660067032;9723207.118836446;10137689.201034376;9786572.096797744;11019365.846951008;10207165.564953903;9384688.829433432;1885609.820870121;1376722.5350493218;3294584.332363736;1506331.74303918;2454355.3079219228;2322824.6935356334;2433563.946680603;2536247.421570387;1941234.0224407553;2267701.661298992;2552466.1706686635;2278015.2427473105;3659348.3041174687;3859677.6646390287;5147756.80139184;4220709.329016514;4768188.870045437;4044845.966290039;4727285.951071545;4928634.328230259;4560903.140007727;5167413.013759046;4962227.550664305;4535497.36247248;13070961.052019877;13784873.928127695;18385062.0339082;15074061.759721749;17029975.464856923;14446810.319892704;16884057.016588595;17602570.950835023;16288709.259246226;18454480.522009045;17721859.286286872;16198201.434653223
REMANSO;PARCELA;68973376.65144192;62921187.11058625;61978548.98980224;64801248.96287232;67914217.08583488;60302488.1082624;76859922.99745727;70856809.66703232;62692280.43397056;67894106.31672192;62123767.66910592;59270697.8652096;17249822.149622887;10158073.801060384;20572544.85522521;10432360.500302326;16993767.187427394;17304687.58752144;19220956.242308307;17718226.80440245;12435845.473821817;13964450.246709097;15541905.342120796;14387064.707095528;33531805.368282203;28421117.37458794;32100714.121972397;29256244.17030161;33018287.170586046;30180959.14386462;37365698.6397883;34447030.84164848;29217157.33038825;31832851.48346378;30202640.203922413;28644743.23719621;119755004.169347;101500378.28623457;114651807.96699984;104489853.63347626;117926271.44384831;107788134.83964846;133446577.87955387;123022067.31308326;104345283.23818062;113691408.04689479;107868313.21514913;102302505.80950134
PIEDECUESTA;PARCELA;36770967.72895136;24564183.09844512;24034007.20611072;25282985.78864704;27793814.68122656;27028410.0521744;37621663.4784416;37792738.5236032;33693605.7108672;34070607.74902208;27883087.09871232;28336448.596591998;9196529.561948566;3944246.4438834093;8016431.209279955;4056084.8276997567;6959374.911665211;7771498.35732455;9409902.791089699;9448203.527687447;6682069.127640941;7007200.7915050015;6979597.124003902;6881248.393034332;17876471.18934559;11085168.26807666;12460949.056753777;11407820.422846943;13513438.981964977;13532029.735742977;18290139.88054908;18372599.24341276;15701670.657537341;15974049.056583323;13556506.210781716;13694823.803045277;63843968.480245516;39593597.81040519;44511387.472144455;40746891.03919374;48266628.57485674;48331938.14524193;65321706.15008038;65613541.29470341;56077345.49604548;57051857.597110406;48419190.43349794;48912520.792671606
NAUTICA;PARCELA;76360097.04997438;68622203.949975;68647056.6013596;72036176.61023939;75207112.38535559;62369613.74451599;60530607.8669682;57010681.3463928;53235034.941816;58160534.1561972;53289176.4727218;52145309.101158;19116660.60146936;10995905.205702431;22885246.70833378;11552364.384180868;18844962.23253825;17951122.085399173;15142531.076190969;14265070.261748387;10546771.971346077;11953965.698292663;13340376.217133697;12660610.465546856;37125983.07267272;30956456.69183341;35587656.129900716;32501082.71232947;36568089.30500742;31231223.202314794;29427968.420476;27717187.146614544;24801660.493344106;27263214.611589063;25908910.78014694;25201338.567613877;132602740.72411647;110574565.84751084;127119959.43959409;116089623.70674974;130620163.92290127;111551959.03222996;105101107.36363517;98992938.75475574;88583467.40650618;97377714.46607892;92538463.47000244;90007258.13431874
LAS LINAS;PARCELA;46924242.948;38660311.496;38219936.496;40964720.972;39569415.567999996;32766780.0;39631797.0;38657997.88;36403237.568;39393236.383999996;36403237.568;35996988.16;11691092.282393351;6353628.2679616995;12473510.38479271;6729798.0705983145;9845483.242593994;9304988.755434161;9866858.537787685;9624474.51484918;7269867.118239991;8144205.318188751;9057835.053346982;8706380.294199469;22805467.760882005;17516719.520747144;19724343.937059358;18559603.597519632;19228892.789921213;16370693.40022692;19260133.82527618;18786898.927951287;16995317.725285847;18499250.46945602;17690300.861661933;17394848.778856248;81420802.99127536;62530659.28470884;70417790.81785206;66254122.64011794;68643791.6005152;58442462.155661084;68758789.36306387;67069371.32280047;60668422.411525846;66036692.17164476;63151373.48300892;62098217.23305571
DON ALI;PARCELA;33689536.543296;28647229.017792;28647229.017792;30011382.780544;31375536.543296;26669972.44032;32506900.069440003;29988556.58816;27359713.10688;29965400.069440003;29569713.10688;28266869.625600003;8461263.073818281;4550505.532606482;9618865.333981076;4767196.272254409;7880092.634514281;7724040.176966631;8164239.150288538;7531747.0209307745;5398285.896138182;6142911.628906812;7426552.790155013;6881900.754598072;16384015.81117232;12903959.419739889;14874030.874534197;13518433.677822743;15258663.061414855;13368952.704339312;15808871.814708482;14584142.012853585;12733034.212473169;14035300.757147407;14380448.55417751;13662327.04678299;58534815.428286605;46101693.97013837;53140125.22630727;48297012.73062116;54514292.239225134;47762965.32162594;56480011.03443703;52104445.62194436;45491033.215491354;50143612.455494225;51376714.451212525;48811097.42698107
DR4 DON ALI;PARCELA;3753465.006944;3001171.310688;2735971.310688;2866255.658816;2996540.006944;2771436.96256;3872252.506944;3275105.658816;2791221.310688;2996540.006944;2791221.3106879997;3075311.96256;942697.8854787536;476724.8743361426;918655.6779644848;455294.0260018256;752593.1167794537;802651.3898597398;972531.8455301037;822556.0045380774;550729.8477738183;614291.162890681;701026.4975485011;748720.7460920571;1825398.5162847242;1351858.2471188842;1420553.510489221;1291086.362488689;1457288.0451913064;1389248.1425855528;1883167.677806684;1592761.0885457299;1299016.415294109;1403530.0757147404;1357436.723061528;1486401.5138530543;6521561.408707477;4829754.432143027;5075180.499141706;4612636.047306514;5206421.1689147595;4963336.495005293;6727952.0302807875;5690422.751899807;4640967.573755927;5014361.245549422;4849684.531298028;5310434.222505111
