ID;FINCA;GRUPO;LABOR;MAESTRA;TARIFA;REF;PROMEDIADO;PRESTACIONES;FACTOR
100002;DON FUAD;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;EUFEMIA;COSECHA;DESPIÑATE X CONTRATO     ;EUF;180.922329;RACIMO CORTADO;G04;0.3887;1
100002;OLGA;COSECHA;DESPIÑATE X CONTRATO     ;EUF;180.922329;RACIMO CORTADO;G04;0.3887;1
100002;DON SAID;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;ASUNTINA;COSECHA;DESPIÑATE X CONTRATO     ;CONT02;130;RACIMO CORTADO;G04;0.3887;1
100002;PORLAMAR;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G05;0.3887;1
100002;EL MORRO;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;LA PERLA;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;ARACATACA;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G05;0.3887;1
100002;BOCATOMA;COSECHA;DESPIÑATE X CONTRATO     ;REG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;JOYA;COSECHA;DESPIÑATE X CONTRATO     ;CONT01;157.5;RACIMO CORTADO;G04;0.3887;1
100002;ESMERALDA;COSECHA;DESPIÑATE X CONTRATO     ;CONT01;157.5;RACIMO CORTADO;G04;0.3887;1
100002;NARANJOS;COSECHA;DESPIÑATE X CONTRATO     ;CONT01;157.5;RACIMO CORTADO;G04;0.3887;1
100002;YUNQUE;COSECHA;DESPIÑATE X CONTRATO     ;CONT01;157.5;RACIMO CORTADO;G04;0.3887;1
100002;DONAMA;COSECHA;DESPIÑATE X CONTRATO     ;CONT01;157.5;RACIMO CORTADO;G04;0.3887;1
100002;BURDEOS;COSECHA;DESPIÑATE X CONTRATO     ;CONT01;157.5;RACIMO CORTADO;G04;0.3887;1
100002;DON MARCE SUR 2;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;LAS MARGARITAS;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;LA CECILIA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;JOSEFINA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;SAN ALFREDO;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;VICTORIA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
100002;CIRCASIA;COSECHA;DESPIÑATE X CONTRATO     ;ORG SUR;164.02928;RACIMO CORTADO;G04;0.3887;1
