FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL
FEDERICA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
NEERLANDIA;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;35865648.0
SAN ANTONIO;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;35865648.0
MRS;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;4200000.0
DON FUAD;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;6000000.0
EUFEMIA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
OLGA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0
DON SAID;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;2760000.0
ASUNTINA;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;4200000.0
PORLAMAR;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;6000000.0
EL MORRO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
LA PERLA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ARACATACA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0
BOCATOMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
JOYA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NARANJOS;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;4533741.33;54404895.959999986
YUNQUE;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;4707005.33;56484063.959999986
DONAMA;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;8663200.0;103958400.0
BURDEOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
