FINCA;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;TOTAL;DETALLE
DON CARLOS;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;10346267.139999999;124155205.67999999;Auxilio de Transporte
EVA NORTE;81016532.52;80315090.67999999;77860044.24;78561486.08;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;79262927.92;951856576.8799998;Auxilio de Transporte
DON PEDRO;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;39105382.58;469264590.95999986;Auxilio de Transporte
LA VELA;27005510.84;27005510.84;27005510.84;27005510.84;27005510.84;26654789.919999998;26304069.0;26304069.0;26304069.0;26304069.0;26304069.0;26304069.0;319506758.12;Auxilio de Transporte
ESPERANZA;26304069.0;26479429.459999997;26479429.459999997;26479429.459999997;26479429.459999997;24901185.32;23498301.64;23498301.64;23498301.64;23498301.64;23498301.64;23498301.64;298112781.9999999;Auxilio de Transporte
LINA MARGARITA;15782441.399999999;15782441.399999999;15782441.399999999;15782441.399999999;16834604.16;19465011.06;19640371.52;19640371.52;19640371.52;19640371.52;19640371.52;19640371.52;217271609.94000003;Auxilio de Transporte
DON MARCE;24199743.48;29986638.66;35948894.3;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;39806824.42;448396696.2200001;Auxilio de Transporte
ENANO;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;4200000.0;Transporte de personal
EVA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
SAMI;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;330000.0;3960000.0;Transporte de personal
VEGA;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;250000.0;3000000.0;Transporte de personal
FEDERICA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
NEERLANDIA;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;35865648.0;Transporte de personal
SAN ANTONIO;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;2988804.0;35865648.0;Transporte de personal
MRS;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;4200000.0;Transporte de personal
DON FUAD;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;6000000.0;Transporte de personal
EUFEMIA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
OLGA;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;200000.0;2400000.0;Transporte de personal
DON SAID;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;230000.0;2760000.0;Transporte de personal
ASUNTINA;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;350000.0;4200000.0;Transporte de personal
PORLAMAR;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;500000.0;6000000.0;Transporte de personal
EL MORRO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
LA PERLA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
ARACATACA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0;Transporte de personal
BOCATOMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
JOYA;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;400000.0;4800000.0;Transporte de personal
ESMERALDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Transporte de personal
