ID,FINCA,MAESTRA,PROMEDIADO,PRESTACIONES,FACTOR
100003,ESMERALDA,CONT01,G04,0.3887,1.0
100003,NARANJOS,CONT01,G04,0.3887,1.0
100003,YUNQUE,CONT01,G04,0.3887,1.0
100003,DONAMA,CONT01,G04,0.3887,1.0
100003,BURDEOS,CONT01,G04,0.3887,1.0
100003,DON MARCE SUR 2,ORG SUR,G04,0.3887,1.0
100003,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100003,LA CECILIA,ORG SUR,G04,0.3887,1.0
100003,JOSEFINA,ORG SUR,G04,0.3887,1.0
100003,SAN ALFREDO,ORG SUR,G04,0.3887,1.0
100003,VICTORIA,ORG SUR,G04,0.3887,1.0
100003,CIRCASIA,ORG SUR,G04,0.3887,1.0
100003,CIÉNAGA,ORG SUR,G04,0.3887,1.0
100003,MARÍA,ORG SUR,G04,0.3887,1.0
100003,REMANSO,ORG SUR,G04,0.3887,1.0
100003,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100003,NÁUTICA,CESAR,G05,0.3887,1.0
100003,LAS LINAS,LINAS,G04,0.3887,1.0
100003,DON ALÍ,ORG NORTE,G04,0.3887,1.0
100003,DR4 DON ALÍ,ORG NORTE,G04,0.3887,1.0
100003,DON CARLOS,ORG NORTE,G04,0.3887,1.0
100003,EVA NORTE,ORG NORTE,G05,0.3887,1.0
100003,DON PEDRO,ORG NORTE,G04,0.3887,1.0
100003,LA VELA,ORG NORTE,G04,0.3887,1.0
100003,ESPERANZA,ORG NORTE,G04,0.3887,1.0
100003,LINA MARGARITA,PLAT,G04,0.3887,1.0
100003,DON MARCE,PLAT,G04,0.3887,1.0
100004,ENANO,REG SUR,G04,0.3887,1.0
100004,EVA,REG SUR,G04,0.3887,1.0
100004,SAMI,REG SUR,G04,0.3887,1.0
100004,VEGA,REG SUR,G04,0.3887,1.0
100004,FEDERICA,REG SUR,G04,0.3887,1.0
100004,NEERLANDIA,SG,G04,0.3887,1.0
100004,SAN ANTONIO,SG,G04,0.3887,1.0
100004,MRS,REG SUR,G04,0.3887,1.0
100004,DON FUAD,REG SUR,G04,0.3887,1.0
100004,EUFEMIA,EUF,G04,0.3887,1.0
100004,OLGA,EUF,G04,0.3887,1.0
100004,DON SAID,CONT03,G04,0.3887,1.0
100004,ASUNTINA,CONT02,G04,0.3887,1.0
100004,PORLAMAR,REG SUR,G05,0.3887,1.0
100004,EL MORRO,REG SUR,G04,0.3887,1.0
100004,LA PERLA,REG SUR,G04,0.3887,1.0
100004,ARACATACA,REG SUR,G05,0.3887,1.0
100004,BOCATOMA,REG SUR,G04,0.3887,1.0
100004,JOYA,CONT01,G04,0.3887,1.0
100004,ESMERALDA,CONT01,G04,0.3887,1.0
100004,NARANJOS,CONT01,G04,0.3887,1.0
100004,YUNQUE,CONT01,G04,0.3887,1.0
100004,DONAMA,CONT01,G04,0.3887,1.0
100004,BURDEOS,CONT01,G04,0.3887,1.0
100004,DON MARCE SUR 2,ORG SUR,G04,0.3887,1.0
100004,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100004,LA CECILIA,ORG SUR,G04,0.3887,1.0
100004,JOSEFINA,ORG SUR,G04,0.3887,1.0
100004,SAN ALFREDO,ORG SUR,G04,0.3887,1.0
100004,VICTORIA,ORG SUR,G04,0.3887,1.0
100004,CIRCASIA,ORG SUR,G04,0.3887,1.0
100004,CIÉNAGA,ORG SUR,G04,0.3887,1.0
100004,MARÍA,ORG SUR,G04,0.3887,1.0
100004,REMANSO,ORG SUR,G04,0.3887,1.0
100004,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100004,NÁUTICA,CESAR,G05,0.3887,1.0
100004,LAS LINAS,LINAS,G04,0.3887,1.0
100004,DON ALÍ,ORG NORTE,G04,0.3887,1.0
100004,DR4 DON ALÍ,ORG NORTE,G04,0.3887,1.0
100004,DON CARLOS,ORG NORTE,G04,0.3887,1.0
100004,EVA NORTE,ORG NORTE,G05,0.3887,1.0
100004,DON PEDRO,ORG NORTE,G04,0.3887,1.0
100004,LA VELA,ORG NORTE,G04,0.3887,1.0
100004,ESPERANZA,ORG NORTE,G04,0.3887,1.0
100004,LINA MARGARITA,PLAT,G04,0.3887,0.0
100004,DON MARCE,PLAT,G04,0.3887,1.0
100005,ENANO,REG SUR,G04,0.3887,0.5
100005,EVA,REG SUR,G04,0.3887,1.0
100005,SAMI,REG SUR,G04,0.3887,1.0
100005,VEGA,REG SUR,G04,0.3887,1.0
100005,FEDERICA,REG SUR,G04,0.3887,0.5
100005,NEERLANDIA,SG,G04,0.3887,1.0
100005,SAN ANTONIO,SG,G04,0.3887,1.0
100005,MRS,REG SUR,G04,0.3887,0.4
100005,DON FUAD,REG SUR,G04,0.3887,0.4
100005,EUFEMIA,EUF,G04,0.3887,1.0
100005,OLGA,EUF,G04,0.3887,0.0
100005,DON SAID,REG SUR,G04,0.3887,1.0
100005,ASUNTINA,CONT02,G04,0.3887,0.0
100005,PORLAMAR,REG SUR,G05,0.3887,1.0
100005,EL MORRO,REG SUR,G04,0.3887,0.0
100005,LA PERLA,REG SUR,G04,0.3887,0.0
100005,ARACATACA,REG SUR,G05,0.3887,1.0
100005,BOCATOMA,REG SUR,G04,0.3887,0.0
100005,JOYA,CONT01,G04,0.3887,0.0
100005,ESMERALDA,CONT01,G04,0.3887,0.0
100005,NARANJOS,CONT01,G04,0.3887,0.0
100005,YUNQUE,CONT01,G04,0.3887,0.0
100005,DONAMA,CONT01,G04,0.3887,0.0
100005,BURDEOS,CONT01,G04,0.3887,0.0
100005,DON MARCE SUR 2,ORG SUR,G04,0.3887,0.4
100005,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100005,LA CECILIA,ORG SUR,G04,0.3887,0.0
100005,JOSEFINA,ORG SUR,G04,0.3887,1.0
100005,SAN ALFREDO,ORG SUR,G04,0.3887,0.0
100005,VICTORIA,ORG SUR,G04,0.3887,1.0
100005,CIRCASIA,ORG SUR,G04,0.3887,1.0
100005,CIÉNAGA,ORG SUR,G04,0.3887,0.0
100005,MARÍA,ORG SUR,G04,0.3887,1.0
100005,REMANSO,ORG SUR,G04,0.3887,1.0
100005,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100005,NÁUTICA,CESAR,G05,0.3887,0.3
100005,LAS LINAS,LINAS,G04,0.3887,0.5
100005,DON ALÍ,ORG NORTE,G04,0.3887,0.0
100005,DR4 DON ALÍ,ORG NORTE,G04,0.3887,0.0
100005,DON CARLOS,ORG NORTE,G04,0.3887,0.0
100005,EVA NORTE,ORG NORTE,G05,0.3887,0.0
100005,DON PEDRO,ORG NORTE,G04,0.3887,0.0
100005,LA VELA,ORG NORTE,G04,0.3887,0.0
100005,ESPERANZA,ORG NORTE,G04,0.3887,0.0
100005,LINA MARGARITA,PLAT,G04,0.3887,1.0
100005,DON MARCE,PLAT,G04,0.3887,0.0
100006,ENANO,REG SUR,G04,0.3887,7.5
100006,EVA,REG SUR,G04,0.3887,5.4
100006,SAMI,REG SUR,G04,0.3887,6.0
100006,VEGA,REG SUR,G04,0.3887,0.0
100006,FEDERICA,REG SUR,G04,0.3887,9.0
100006,NEERLANDIA,SG,G04,0.3887,8.0
100006,SAN ANTONIO,SG,G04,0.3887,8.0
100006,MRS,REG SUR,G04,0.3887,0.0
100006,DON FUAD,REG SUR,G04,0.3887,0.0
100006,EUFEMIA,EUF,G04,0.3887,8.0
100006,OLGA,EUF,G04,0.3887,0.0
100006,DON SAID,REG SUR,G04,0.3887,20.0
100006,ASUNTINA,REG SUR,G04,0.3887,0.0
100006,PORLAMAR,REG SUR,G05,0.3887,0.0
100006,EL MORRO,REG SUR,G04,0.3887,0.0
100006,LA PERLA,REG SUR,G04,0.3887,0.0
100006,ARACATACA,REG SUR,G05,0.3887,40.0
100006,BOCATOMA,REG SUR,G04,0.3887,0.0
100006,JOYA,REG SUR,G04,0.3887,0.0
100006,ESMERALDA,REG SUR,G04,0.3887,0.0
100006,NARANJOS,REG SUR,G04,0.3887,0.0
100006,YUNQUE,REG SUR,G04,0.3887,0.0
100006,DONAMA,REG SUR,G04,0.3887,0.0
100006,BURDEOS,REG SUR,G04,0.3887,0.0
100006,DON MARCE SUR 2,ORG SUR,G04,0.3887,0.0
100006,LAS MARGARITAS,ORG SUR,G04,0.3887,0.0
100006,LA CECILIA,ORG SUR,G04,0.3887,0.0
100006,JOSEFINA,ORG SUR,G04,0.3887,0.0
100006,SAN ALFREDO,ORG SUR,G04,0.3887,0.0
100006,VICTORIA,ORG SUR,G04,0.3887,0.0
100006,CIRCASIA,ORG SUR,G04,0.3887,0.0
100006,CIÉNAGA,ORG SUR,G04,0.3887,0.0
100006,MARÍA,ORG SUR,G04,0.3887,0.0
100006,REMANSO,ORG SUR,G04,0.3887,0.0
100006,PIEDECUESTA,ORG SUR,G04,0.3887,0.0
100006,NÁUTICA,CESAR,G05,0.3887,0.0
100006,LAS LINAS,LINAS,G04,0.3887,10.0
100006,DON ALÍ,ORG NORTE,G04,0.3887,0.0
100006,DR4 DON ALÍ,ORG NORTE,G04,0.3887,0.0
100006,DON CARLOS,ORG NORTE,G04,0.3887,0.0
100006,EVA NORTE,ORG NORTE,G05,0.3887,0.0
100006,DON PEDRO,ORG NORTE,G04,0.3887,0.0
100006,LA VELA,ORG NORTE,G04,0.3887,0.0
100006,ESPERANZA,ORG NORTE,G04,0.3887,0.0
100006,LINA MARGARITA,PLAT,G04,0.3887,0.0
100006,DON MARCE,PLAT,G04,0.3887,0.0
100023,ENANO,REG SUR,G04,0.3887,0.0
100023,EVA,REG SUR,G04,0.3887,0.0
100023,SAMI,REG SUR,G04,0.3887,0.0
100023,VEGA,REG SUR,G04,0.3887,0.0
100023,FEDERICA,REG SUR,G04,0.3887,0.0
100023,NEERLANDIA,SG,G04,0.3887,0.0
100023,SAN ANTONIO,SG,G04,0.3887,0.0
100023,MRS,REG SUR,G04,0.3887,0.0
100023,DON FUAD,REG SUR,G04,0.3887,0.0
100023,EUFEMIA,EUF,G04,0.3887,0.0
100023,OLGA,EUF,G04,0.3887,0.0
100023,DON SAID,REG SUR,G04,0.3887,0.0
100023,ASUNTINA,REG SUR,G04,0.3887,0.0
100023,PORLAMAR,REG SUR,G05,0.3887,4.0
100023,EL MORRO,REG SUR,G04,0.3887,0.0
100023,LA PERLA,REG SUR,G04,0.3887,0.0
100023,ARACATACA,REG SUR,G05,0.3887,0.0
100023,BOCATOMA,REG SUR,G04,0.3887,0.0
100023,JOYA,REG SUR,G04,0.3887,0.0
100023,ESMERALDA,REG SUR,G04,0.3887,0.0
100023,NARANJOS,REG SUR,G04,0.3887,0.0
100023,YUNQUE,REG SUR,G04,0.3887,0.0
100023,DONAMA,REG SUR,G04,0.3887,0.0
100023,BURDEOS,REG SUR,G04,0.3887,0.0
100023,DON MARCE SUR 2,ORG SUR,G04,0.3887,0.0
100023,LAS MARGARITAS,ORG SUR,G04,0.3887,0.0
100023,LA CECILIA,ORG SUR,G04,0.3887,0.0
100023,JOSEFINA,ORG SUR,G04,0.3887,0.0
100023,SAN ALFREDO,ORG SUR,G04,0.3887,0.0
100023,VICTORIA,ORG SUR,G04,0.3887,0.0
100023,CIRCASIA,ORG SUR,G04,0.3887,0.0
100023,CIÉNAGA,ORG SUR,G04,0.3887,0.0
100023,MARÍA,ORG SUR,G04,0.3887,0.0
100023,REMANSO,ORG SUR,G04,0.3887,0.0
100023,PIEDECUESTA,ORG SUR,G04,0.3887,0.0
100023,NÁUTICA,CESAR,G05,0.3887,10.0
100023,LAS LINAS,LINAS,G04,0.3887,0.0
100023,DON ALÍ,ORG NORTE,G04,0.3887,2.0
100023,DR4 DON ALÍ,ORG NORTE,G04,0.3887,0.0
100023,DON CARLOS,ORG NORTE,G04,0.3887,0.0
100023,EVA NORTE,ORG NORTE,G05,0.3887,2.0
100023,DON PEDRO,ORG NORTE,G04,0.3887,1.0
100023,LA VELA,ORG NORTE,G04,0.3887,1.0
100023,ESPERANZA,ORG NORTE,G04,0.3887,0.0
100023,LINA MARGARITA,PLAT,G04,0.3887,0.0
100023,DON MARCE,PLAT,G04,0.3887,0.0
100007,ENANO,REG SUR,G04,0.3887,0.0
100007,EVA,REG SUR,G04,0.3887,0.0
100007,SAMI,REG SUR,G04,0.3887,0.0
100007,VEGA,REG SUR,G04,0.3887,0.0
100007,FEDERICA,REG SUR,G04,0.3887,0.0
100007,NEERLANDIA,SG,G04,0.3887,0.0
100007,SAN ANTONIO,SG,G04,0.3887,0.0
100007,MRS,REG SUR,G04,0.3887,0.0
100007,DON FUAD,REG SUR,G04,0.3887,0.0
100007,EUFEMIA,EUF,G04,0.3887,0.0
100007,OLGA,EUF,G04,0.3887,0.0
100007,DON SAID,REG SUR,G04,0.3887,0.0
100007,ASUNTINA,REG SUR,G04,0.3887,0.0
100007,PORLAMAR,REG SUR,G05,0.3887,0.0
100007,EL MORRO,REG SUR,G04,0.3887,0.0
100007,LA PERLA,REG SUR,G04,0.3887,0.0
100007,ARACATACA,REG SUR,G05,0.3887,0.0
100007,BOCATOMA,REG SUR,G04,0.3887,0.0
100007,JOYA,REG SUR,G04,0.3887,0.0
100007,ESMERALDA,REG SUR,G04,0.3887,0.0
100007,NARANJOS,REG SUR,G04,0.3887,0.0
100007,YUNQUE,REG SUR,G04,0.3887,0.0
100007,DONAMA,REG SUR,G04,0.3887,0.0
100007,BURDEOS,REG SUR,G04,0.3887,0.0
100007,DON MARCE SUR 2,ORG SUR,G04,0.3887,0.0
100007,LAS MARGARITAS,ORG SUR,G04,0.3887,0.0
100007,LA CECILIA,ORG SUR,G04,0.3887,0.0
100007,JOSEFINA,ORG SUR,G04,0.3887,0.0
100007,SAN ALFREDO,ORG SUR,G04,0.3887,0.0
100007,VICTORIA,ORG SUR,G04,0.3887,0.0
100007,CIRCASIA,ORG SUR,G04,0.3887,0.0
100007,CIÉNAGA,ORG SUR,G04,0.3887,0.0
100007,MARÍA,ORG SUR,G04,0.3887,0.0
100007,REMANSO,ORG SUR,G04,0.3887,0.0
100007,PIEDECUESTA,ORG SUR,G04,0.3887,0.0
100007,NÁUTICA,CESAR,G05,0.3887,0.0
100007,LAS LINAS,LINAS,G04,0.3887,0.0
100007,DON ALÍ,ORG NORTE,G04,0.3887,0.0
100007,DR4 DON ALÍ,ORG NORTE,G04,0.3887,0.0
100007,DON CARLOS,ORG NORTE,G04,0.3887,0.0
100007,EVA NORTE,ORG NORTE,G05,0.3887,0.0
100007,DON PEDRO,ORG NORTE,G04,0.3887,0.0
100007,LA VELA,ORG NORTE,G04,0.3887,0.0
100007,ESPERANZA,ORG NORTE,G04,0.3887,0.0
100007,LINA MARGARITA,PLAT,G04,0.3887,0.0
100007,DON MARCE,PLAT,G04,0.3887,0.0
100008,ENANO,REG SUR,G04,0.3887,1.0
100008,EVA,REG SUR,G04,0.3887,1.0
100008,SAMI,REG SUR,G04,0.3887,1.0
100008,VEGA,CONT03,G04,0.3887,1.0
100008,FEDERICA,REG SUR,G04,0.3887,1.0
100008,NEERLANDIA,SG,G04,0.3887,1.0
100008,SAN ANTONIO,SG,G04,0.3887,1.0
100008,MRS,CONT03,G04,0.3887,1.0
100008,DON FUAD,REG SUR,G04,0.3887,1.0
100008,EUFEMIA,EUF,G04,0.3887,1.0
100008,OLGA,CONT04,G04,0.3887,1.0
100008,DON SAID,REG SUR,G04,0.3887,1.0
100008,ASUNTINA,REG SUR,G04,0.3887,1.0
100008,PORLAMAR,REG SUR,G05,0.3887,1.0
100008,EL MORRO,REG SUR,G04,0.3887,1.0
100008,LA PERLA,REG SUR,G04,0.3887,1.0
100008,ARACATACA,REG SUR,G05,0.3887,1.0
100008,BOCATOMA,REG SUR,G04,0.3887,1.0
100008,JOYA,CONT01,G04,0.3887,1.0
100008,ESMERALDA,CONT01,G04,0.3887,1.0
100008,NARANJOS,CONT01,G04,0.3887,1.0
100008,YUNQUE,CONT01,G04,0.3887,1.0
100008,DONAMA,CONT01,G04,0.3887,1.0
100008,BURDEOS,CONT01,G04,0.3887,1.0
100008,DON MARCE SUR 2,CONT02,G04,0.3887,1.0
100008,LAS MARGARITAS,ORG SUR,G04,0.3887,1.0
100008,LA CECILIA,CONT02,G04,0.3887,1.0
100008,JOSEFINA,ORG SUR,G04,0.3887,1.0
100008,SAN ALFREDO,CONT02,G04,0.3887,1.0
100008,VICTORIA,ORG SUR,G04,0.3887,1.0
100008,CIRCASIA,ORG SUR,G04,0.3887,1.0
100008,CIÉNAGA,CONT02,G04,0.3887,1.0
100008,MARÍA,CONT02,G04,0.3887,1.0
100008,REMANSO,ORG SUR,G04,0.3887,1.0
100008,PIEDECUESTA,ORG SUR,G04,0.3887,1.0
100008,NÁUTICA,CESAR,G05,0.3887,1.0
100008,LAS LINAS,LINAS,G04,0.3887,0.0
100008,DON ALÍ,ORG NORTE,G04,0.3887,0.0
100008,DR4 DON ALÍ,ORG NORTE,G04,0.3887,0.0
100008,DON CARLOS,ORG NORTE,G04,0.3887,0.0
100008,EVA NORTE,ORG NORTE,G05,0.3887,0.0
100008,DON PEDRO,ORG NORTE,G04,0.3887,0.0
100008,LA VELA,ORG NORTE,G04,0.3887,0.0
100008,ESPERANZA,ORG NORTE,G04,0.3887,0.0
100008,LINA MARGARITA,PLAT,G04,0.3887,1.0
100008,DON MARCE,PLAT,G04,0.3887,1.0
100009,ENANO,REG SUR,G04,0.3887,1.0
100009,EVA,REG SUR,G04,0.3887,1.0
100009,SAMI,REG SUR,G04,0.3887,1.0
100009,VEGA,CONT03,G04,0.3887,1.0
100009,FEDERICA,REG SUR,G04,0.3887,1.0
100009,NEERLANDIA,SG,G04,0.3887,1.0
100009,SAN ANTONIO,SG,G04,0.3887,1.0
100009,MRS,CONT03,G04,0.3887,1.0
100009,DON FUAD,REG SUR,G04,0.3887,1.0
100009,EUFEMIA,EUF,G04,0.3887,1.0
100009,OLGA,CONT04,G04,0.3887,1.0
100009,DON SAID,REG SUR,G04,0.3887,1.0
100009,ASUNTINA,REG SUR,G04,0.3887,1.0
